name,uspg,offr,defr,ts,efg,ft,rebp,astp,blkp
"Harden, James",40.5,118.3,108,0.616,0.541,44.9,10,39.50,2.70,1.70
"Embiid, Joel",33.3,113.7,104.3,0.593,0.517,54.1,21.4,18.40,1.00,4.40
"Booker, Devin",32.9,109.1,118.2,0.584,0.521,36.2,6.5,34.10,1.20,0.50
"Williams, Lou",32.4,111.9,114.2,0.554,0.471,42.6,5.9,33.00,1.30,0.40
"Antetokounmpo, Giannis",32.3,121.2,99.3,0.644,0.599,55,19.3,30.30,1.80,3.90
"Russell, D'Angelo",31.9,106.6,110.2,0.533,0.512,13.5,6.8,41.30,1.90,0.60
"Mitchell, Donovan",31.6,104.4,107.1,0.537,0.493,25.9,6.6,21.20,2.00,0.90
"James, LeBron",31.6,114.3,107.9,0.588,0.56,38.2,12.4,39.40,1.70,1.40
"Walker, Kemba",31.5,112,113.6,0.558,0.511,26.7,6.8,29.40,1.70,1.00
"Westbrook, Russell",30.9,105.1,103,0.501,0.468,30.6,15.8,46.50,2.50,1.10
"Doncic, Luka",30.5,106.6,109.1,0.545,0.497,40.9,13,31.60,1.60,0.90
"LaVine, Zach",30.5,106,114.8,0.574,0.52,33,7.4,22.60,1.30,1.00
"Curry, Stephen",30.4,119.8,110.1,0.641,0.604,21.4,8.4,24.20,1.90,0.90
"Leonard, Kawhi",30.3,119.5,105.2,0.606,0.546,37.7,11.6,16.40,2.50,1.00
"Griffin, Blake",30.2,112.6,109.7,0.581,0.532,41,11.8,27.10,1.00,0.90
"Irving, Kyrie",29.6,117.5,107.9,0.592,0.557,19.7,8.1,35.00,2.20,1.40
"Davis, Anthony",29.5,122,105,0.597,0.54,42.2,18.8,19.00,2.20,6.00
"George, Paul",29.5,116.4,104.6,0.583,0.529,33.5,11.4,17.70,2.80,1.00
"Lillard, Damian",29.3,121.4,112,0.588,0.522,33.5,7,30.60,1.50,1.00
"Durant, Kevin",29,120.8,109.9,0.631,0.571,36.6,9.8,26.20,1.00,2.60
"Towns, Karl-Anthony",28.9,118.3,108.4,0.622,0.572,34.2,20,17.20,1.30,4.20
"Beal, Bradley",28.4,113.4,114.4,0.581,0.54,27.8,7.4,24.10,1.90,1.60
"Young, Trae",28.4,107.4,116.8,0.539,0.48,33,6.3,40.50,1.30,0.50
"Vucevic, Nikola",28,114.7,103.3,0.573,0.549,16.8,20.5,21.90,1.60,3.00
"DeRozan, DeMar",27.9,109.8,110.8,0.542,0.483,33.6,9.4,27.60,1.60,1.10
"Wade, Dwyane",27.9,102,109,0.51,0.478,24.3,8,26.50,1.50,1.80
"Randle, Julius",27.8,113.3,112.1,0.6,0.555,44.7,14.7,15.80,1.10,1.60
"Clarkson, Jordan",27.6,107,119.5,0.539,0.509,16.3,6.8,15.60,1.30,0.50
"Jokic, Nikola",27.4,119,104.7,0.589,0.545,29.2,18.7,37.00,2.10,1.90
